Date;Symbol;StartDate;EndDate;Offer;Close;Change;Std;Volume;Amount;MktCap
11/11/2015;AAAP;;;16;24,5;53,13 %;;;;
02/10/2014;AAC;;;15;18,5;23,33 %;;;;
26/09/2013;AAOI;;;10;9,96;-0,40 %;;;;
29/04/2015;AAPC;;;10;10,06;0,60 %;;;;
31/07/2014;AAVL;;;17;27,99;64,65 %;;;;
09/05/2014;ABDC;;;15;15,05;0,33 %;;;;
08/10/2015;ABTX;;;21;23,12;10,10 %;;;;
26/04/2012;ACRE;;;18,5;18;-2,70 %;;;;
07/10/2015;ACRS;;;11;11,05;0,45 %;;;;
11/02/2011;ACRX;;;5;4,55;-9,00 %;;;;
16/01/2014;ACSF;;;15;13,38;-10,80 %;;;;
06/05/2015;ADAP;;;17;16;-5,88 %;;;;
22/05/2013;ADHD;;;8;7,55;-5,63 %;;;;
17/10/2013;ADMA;;;8,5;8,55;0,59 %;;;;
10/04/2014;ADMS;;;16;14,01;-12,44 %;;;;
10/05/2012;ADNC;;;17;19;11,76 %;;;;
22/10/2010;AEGR;;;9,5;10,8;13,68 %;;;;
25/10/2013;AERI;;;10;10,61;6,10 %;;;;
12/09/2014;AFMD;;;7;5,7;-18,57 %;;;;
24/07/2013;AGIO;;;18;31,28;73,78 %;;;;
28/01/2011;AGRO;;;11;12;9,09 %;;;;
23/05/2014;AGRX;;;6;5,54;-7,67 %;;;;
27/03/2014;AGTC;;;12;14,76;23,00 %;;;;
08/05/2013;AHH;;;11,5;11,5;0,00 %;;;;
06/08/2015;AIMT;;;16;24,1;50,63 %;;;;
13/02/2015;AJX;;;14,25;14;-1,75 %;;;;
12/03/2014;AKAO;;;12;14,3;19,17 %;;;;
20/03/2014;AKBA;;;17;26,69;57,00 %;;;;
18/04/2011;AL;;;26,5;27,95;5,47 %;;;;
08/05/2014;ALDR;;;10;10,03;0,30 %;;;;
20/11/2012;ALDW;;;16;18,4;15,00 %;;;;
02/05/2014;ALDX;;;8;7,2;-10,00 %;;;;
22/04/2010;ALIM;;;11;11;0,00 %;;;;
10/04/2014;ALLY;;;25;23,98;-4,08 %;;;;
26/06/2015;ALRM;;;14;16,88;20,57 %;;;;
15/03/2012;ALSN;;;23;23,4;1,74 %;;;;
05/11/2014;AM;;;25;28,03;12,12 %;;;;
01/07/2010;AMAP;;;12,5;13,5;8,00 %;;;;
10/10/2012;AMBA;;;6;6,06;1,00 %;;;;
16/05/2013;AMBI;;;8;7,39;-7,63 %;;;;
